SoilN,SoilP,SoilK,PlantAge,FertilizerType,FertilizerAmount
81,32,20,3,NPK 10-10-10,72
76,26,35,2,NPK 25-10-10,43
91,40,35,9,NPK 16-16-16,78
110,48,20,1,NPK 16-16-16,59
61,43,20,11,NPK 10-10-10,50
62,34,35,10,NPK 25-10-10,75
102,15,48,6,NPK 16-16-16,73
75,43,22,7,NPK 16-16-16,55
65,42,32,7,NPK 8-8-8,78
59,48,45,2,NPK 25-10-10,45
103,47,57,8,NPK 10-10-10,59
64,25,46,12,NPK 10-10-10,70
98,25,35,11,NPK 20-10-10,50
70,27,45,5,NPK 8-8-8,65
113,50,59,1,NPK 10-10-10,52
81,48,20,13,NPK 10-10-10,74
102,30,34,10,NPK 8-8-8,52
90,19,51,13,NPK 20-10-10,46
115,37,50,6,NPK 16-16-16,76
115,15,30,1,NPK 8-8-8,62
52,20,30,11,NPK 8-8-8,63
97,25,28,2,NPK 16-16-16,60
114,24,42,7,NPK 8-8-8,62
106,30,23,4,NPK 20-10-10,42
53,32,38,2,NPK 10-10-10,54
111,30,46,12,NPK 8-8-8,70
63,16,45,14,NPK 8-8-8,55
72,15,47,9,NPK 10-10-10,62
118,46,32,5,NPK 25-10-10,40
118,34,55,3,NPK 8-8-8,77
68,37,60,12,NPK 20-10-10,49
116,45,40,6,NPK 8-8-8,53
57,42,33,9,NPK 10-10-10,50
101,36,28,4,NPK 16-16-16,52
79,36,50,9,NPK 10-10-10,76
108,16,50,8,NPK 25-10-10,59
89,20,45,12,NPK 20-10-10,46
73,45,52,4,NPK 10-10-10,45
67,50,20,13,NPK 20-10-10,55
70,47,51,9,NPK 8-8-8,62
111,26,42,4,NPK 8-8-8,63
69,27,57,4,NPK 16-16-16,62
86,29,25,13,NPK 25-10-10,78
93,24,38,8,NPK 16-16-16,57
68,36,33,7,NPK 25-10-10,69
104,22,56,13,NPK 16-16-16,58
57,20,57,12,NPK 20-10-10,47
117,28,53,1,NPK 20-10-10,77
56,41,49,12,NPK 10-10-10,40
81,40,49,10,NPK 20-10-10,53
100,17,56,8,NPK 25-10-10,53
108,20,48,4,NPK 16-16-16,79
116,40,55,5,NPK 20-10-10,54
71,21,30,9,NPK 20-10-10,77
55,45,20,6,NPK 10-10-10,45
51,17,20,5,NPK 20-10-10,41
107,33,30,8,NPK 8-8-8,41
74,25,23,9,NPK 8-8-8,60
115,31,46,2,NPK 16-16-16,62
87,44,40,8,NPK 16-16-16,41
65,38,45,13,NPK 10-10-10,75
91,49,32,10,NPK 10-10-10,52
110,20,44,1,NPK 8-8-8,58
56,42,59,10,NPK 20-10-10,58
81,43,38,10,NPK 8-8-8,55
59,44,54,9,NPK 10-10-10,71
116,20,58,10,NPK 16-16-16,52
85,33,22,5,NPK 25-10-10,48
97,23,57,1,NPK 25-10-10,73
105,18,22,1,NPK 25-10-10,57
51,26,58,12,NPK 10-10-10,44
98,49,30,12,NPK 8-8-8,69
120,31,25,5,NPK 20-10-10,77
84,27,29,14,NPK 20-10-10,53
71,37,56,10,NPK 10-10-10,67
51,42,33,6,NPK 10-10-10,56
114,31,55,3,NPK 10-10-10,48
66,16,40,9,NPK 8-8-8,58
69,25,54,13,NPK 10-10-10,62
90,22,25,14,NPK 8-8-8,58
83,18,33,1,NPK 10-10-10,57
114,23,21,10,NPK 16-16-16,67
100,17,22,7,NPK 20-10-10,74
50,31,26,1,NPK 20-10-10,44
87,41,23,5,NPK 25-10-10,55
100,21,60,9,NPK 25-10-10,63
91,26,43,10,NPK 8-8-8,44
84,29,45,6,NPK 10-10-10,51
54,32,42,8,NPK 16-16-16,60
111,15,24,5,NPK 20-10-10,47
53,16,32,1,NPK 16-16-16,79
112,35,37,7,NPK 8-8-8,55
83,50,29,14,NPK 25-10-10,60
79,37,27,4,NPK 10-10-10,49
62,21,33,2,NPK 16-16-16,78
57,26,30,9,NPK 20-10-10,65
109,49,26,8,NPK 10-10-10,55
79,15,22,10,NPK 25-10-10,45
79,22,27,5,NPK 25-10-10,63
94,20,47,14,NPK 16-16-16,61
79,27,41,1,NPK 10-10-10,62
63,38,28,6,NPK 16-16-16,77
64,34,47,7,NPK 16-16-16,57
79,29,58,3,NPK 10-10-10,78
59,31,33,2,NPK 25-10-10,44
100,45,51,14,NPK 25-10-10,47
70,18,54,9,NPK 25-10-10,44
118,34,41,1,NPK 25-10-10,73
107,28,41,2,NPK 8-8-8,66
115,18,60,13,NPK 20-10-10,44
92,30,56,3,NPK 16-16-16,66
80,44,57,4,NPK 20-10-10,76
98,42,25,9,NPK 20-10-10,47
88,16,60,8,NPK 25-10-10,47
80,45,27,7,NPK 25-10-10,56
75,47,21,8,NPK 16-16-16,80
58,46,57,3,NPK 10-10-10,48
78,21,37,7,NPK 8-8-8,41
86,41,47,12,NPK 16-16-16,43
81,33,26,12,NPK 16-16-16,69
101,23,40,13,NPK 25-10-10,48
65,33,37,12,NPK 16-16-16,62
59,38,41,2,NPK 25-10-10,71
68,24,23,1,NPK 8-8-8,78
114,23,36,1,NPK 25-10-10,57
107,26,27,9,NPK 20-10-10,68
72,47,45,5,NPK 16-16-16,63
56,43,44,7,NPK 25-10-10,57
102,44,30,10,NPK 25-10-10,62
63,24,48,11,NPK 16-16-16,73
86,27,23,2,NPK 10-10-10,61
59,27,39,14,NPK 16-16-16,67
71,44,38,1,NPK 20-10-10,43
54,46,20,6,NPK 25-10-10,67
59,22,23,11,NPK 10-10-10,77
57,25,31,13,NPK 25-10-10,43
71,25,47,2,NPK 25-10-10,62
85,32,33,12,NPK 10-10-10,76
99,17,20,12,NPK 8-8-8,43
109,42,24,4,NPK 25-10-10,73
119,31,37,11,NPK 10-10-10,80
99,40,52,4,NPK 8-8-8,77
83,37,40,14,NPK 8-8-8,55
62,47,52,8,NPK 8-8-8,45
65,46,31,5,NPK 8-8-8,46
87,43,29,2,NPK 16-16-16,46
78,48,41,1,NPK 16-16-16,80
93,21,37,9,NPK 25-10-10,50
60,18,36,8,NPK 16-16-16,51
93,26,49,13,NPK 10-10-10,80
107,21,27,5,NPK 20-10-10,56
57,40,31,8,NPK 16-16-16,71
